Daily Dates,Daily Closing Prices,Weekly Dates,Weekly Closing Prices,Monthly Dates,Monthly Closing Prices,Annually Dates,Annually Closing Prices
04/11/2019,870.6,,,,,,
03/11/2019,885,,,,,,
31/10/2019,900,,,,,,
30/10/2019,907,,,,,,
29/10/2019,904.2,,,,,,
28/10/2019,906.7,,,,,,
27/10/2019,887.9,,,,,,
24/10/2019,891.3,,,,,,
23/10/2019,898.9,,,,,,
22/10/2019,909.9,,,,,,
17/10/2019,941.2,,,,,,
16/10/2019,911,,,,,,
15/10/2019,928.6,,,,,,
10/10/2019,923,,,,,,
07/10/2019,938.4,,,,,,
06/10/2019,955,,,,,,
03/10/2019,936,,,,,,
02/10/2019,960,,,,,,
26/09/2019,977.5,,,,,,
25/09/2019,939,,,,,,
24/09/2019,875.1,,,,,,
23/09/2019,765.7,,,,,,
22/09/2019,718.8,,,,,,
19/09/2019,749.9,,,,,,
18/09/2019,748.1,,,,,,
16/09/2019,752.9,,,,,,
15/09/2019,738,,,,,,
12/09/2019,746.7,,,,,,
11/09/2019,726,,,,,,
10/09/2019,751.2,,,,,,
09/09/2019,761.7,,,,,,
08/09/2019,783.2,,,,,,
05/09/2019,783,,,,,,
04/09/2019,809,,,,,,
03/09/2019,775.1,,,,,,
02/09/2019,828.9,,,,,,
01/09/2019,830.8,,,,,,
29/08/2019,819.9,,,,,,
28/08/2019,805.6,,,,,,
27/08/2019,802,,,,,,
26/08/2019,804.4,,,,,,
25/08/2019,810.9,,,,,,
22/08/2019,837.9,,,,,,
21/08/2019,864.7,,,,,,
20/08/2019,862.6,,,,,,
19/08/2019,844,,,,,,
18/08/2019,844.5,,,,,,
15/08/2019,826.3,,,,,,
14/08/2019,848,,,,,,
13/08/2019,884.1,,,,,,
12/08/2019,908.5,,,,,,
08/08/2019,902,,,,,,
07/08/2019,836.9,,,,,,
06/08/2019,927.8,,,,,,
05/08/2019,929,,,,,,
04/08/2019,974.1,,,,,,
01/08/2019,999,,,,,,
31/07/2019,1008,,,,,,
30/07/2019,1009,,,,,,
29/07/2019,1047,,,,,,
28/07/2019,1049,,,,,,
25/07/2019,1041,,,,,,
24/07/2019,1050,,,,,,
23/07/2019,1038,,,,,,
22/07/2019,1121,,,,,,
21/07/2019,1144,,,,,,
18/07/2019,1143,,,,,,
17/07/2019,1149,,,,,,
16/07/2019,1140,,,,,,
15/07/2019,1066,,,,,,
14/07/2019,1050,,,,,,
11/07/2019,1060,,,,,,
10/07/2019,1041,,,,,,
09/07/2019,970.5,,,,,,
08/07/2019,975.2,,,,,,
07/07/2019,994.1,,,,,,
04/07/2019,992,,,,,,
03/07/2019,992.3,,,,,,
02/07/2019,1012,,,,,,
01/07/2019,1029,,,,,,
30/06/2019,1027,,,,,,
27/06/2019,1022,,,,,,
26/06/2019,1058,,,,,,
25/06/2019,1058,,,,,,
24/06/2019,1069,,,,,,
23/06/2019,1066,,,,,,
20/06/2019,1071,,,,,,
19/06/2019,1078,,,,,,
18/06/2019,1051,,,,,,
17/06/2019,1126,,,,,,
16/06/2019,1127,,,,,,
13/06/2019,1150,,,,,,
12/06/2019,1142,,,,,,
11/06/2019,1149,,,,,,
10/06/2019,1158,,,,,,
06/06/2019,1163,,,,,,
05/06/2019,1202,,,,,,
04/06/2019,1229,,,,,,
03/06/2019,1272,,,,,,
02/06/2019,1325,,,,,,
30/05/2019,1370,,,,,,
29/05/2019,1419,,,,,,
28/05/2019,1558,,,,,,
27/05/2019,1661,,,,,,
26/05/2019,1653,,,,,,
23/05/2019,1565,,,,,,
22/05/2019,1600,,,,,,
21/05/2019,1571,,,,,,
20/05/2019,1538,,,,,,
19/05/2019,1581,,,,,,
16/05/2019,1636,,,,,,
15/05/2019,1630,,,,,,
14/05/2019,1626,,,,,,
13/05/2019,1597,,,,,,
12/05/2019,1630,,,,,,
07/05/2019,1559,,,,,,
06/05/2019,1515,,,,,,
05/05/2019,1500,,,,,,
02/05/2019,1469,,,,,,
01/05/2019,1489,,,,,,
30/04/2019,1505,,,,,,
29/04/2019,1575,,,,,,
28/04/2019,1656,,,,,,
24/04/2019,1645,,,,,,
23/04/2019,1640,,,,,,
22/04/2019,1622,,,,,,
21/04/2019,1625,,,,,,
18/04/2019,1559,,,,,,
17/04/2019,1531,,,,,,
16/04/2019,1554,,,,,,
15/04/2019,1513,,,,,,
14/04/2019,1442,,,,,,
11/04/2019,1394,,,,,,
10/04/2019,1315,,,,,,
08/04/2019,1309,,,,,,
07/04/2019,1300,,,,,,
04/04/2019,1345,,,,,,
03/04/2019,1408,,,,,,
02/04/2019,1401,,,,,,
01/04/2019,1494,,,,,,
31/03/2019,1324,,,,,,
28/03/2019,1314,,,,,,
27/03/2019,1315,,,,,,
26/03/2019,1310,,,,,,
25/03/2019,1318,,,,,,
24/03/2019,1331,,,,,,
20/03/2019,1357,,,,,,
19/03/2019,1486,,,,,,
18/03/2019,1545,,,,,,
17/03/2019,1623,,,,,,
14/03/2019,1615,,,,,,
13/03/2019,1625,,,,,,
12/03/2019,1555,,,,,,
11/03/2019,1571,,,,,,
10/03/2019,1554,,,,,,
07/03/2019,1584,,,,,,
06/03/2019,1631,,,,,,
05/03/2019,1600,,,,,,
04/03/2019,1639,,,,,,
03/03/2019,1620,,,,,,
28/02/2019,1594,,,,,,
27/02/2019,1620,,,,,,
26/02/2019,1645,,,,,,
25/02/2019,1690,,,,,,
24/02/2019,1709,,,,,,
21/02/2019,1679,,,,,,
20/02/2019,1740,,,,,,
19/02/2019,1749,,,,,,
18/02/2019,1850,,,,,,
17/02/2019,1880,,,,,,
14/02/2019,1883,,,,,,
13/02/2019,1889,,,,,,
12/02/2019,1878,,,,,,
11/02/2019,1900,,,,,,
10/02/2019,1953,,,,,,
07/02/2019,1971,,,,,,
06/02/2019,2008,,,,,,
05/02/2019,1995,,,,,,
04/02/2019,1965,,,,,,
03/02/2019,1940,,,,,,
31/01/2019,1917,,,,,,
30/01/2019,1850,,,,,,
29/01/2019,1844,,,,,,
28/01/2019,1823,,,,,,
27/01/2019,1865,,,,,,
24/01/2019,1847,,,,,,
23/01/2019,1830,,,,,,
22/01/2019,1840,,,,,,
21/01/2019,1902,,,,,,
20/01/2019,1934,,,,,,
17/01/2019,1930,,,,,,
16/01/2019,1977,,,,,,
15/01/2019,2031,,,,,,
14/01/2019,2005,,,,,,
13/01/2019,2021,,,,,,
10/01/2019,2046,,,,,,
09/01/2019,2088,,,,,,
08/01/2019,2090,,,,,,
07/01/2019,2052,,,,,,
06/01/2019,2080,,,,,,
03/01/2019,2080,,,,,,
02/01/2019,2141,,,,,,
01/01/2019,2221,,,,,,
31/12/2018,2210,,,,,,
30/12/2018,2222,,,,,,
27/12/2018,2233,,,,,,
26/12/2018,2286,,,,,,
25/12/2018,2294,,,,,,
24/12/2018,2250,,,,,,
23/12/2018,2283,,,,,,
20/12/2018,2382,,,,,,
19/12/2018,2450,,,,,,
18/12/2018,2460,,,,,,
17/12/2018,2546,,,,,,
16/12/2018,2569,,,,,,
13/12/2018,2600,,,,,,
12/12/2018,2605,,,,,,
11/12/2018,2660,,,,,,
10/12/2018,2620,,,,,,
09/12/2018,2630,,,,,,
06/12/2018,2610,,,,,,
05/12/2018,2668,,,,,,
04/12/2018,2660,,,,,,
03/12/2018,2692,,,,,,
02/12/2018,2695,,,,,,
29/11/2018,2666,,,,,,
28/11/2018,2670,,,,,,
27/11/2018,2647,,,,,,
26/11/2018,2648,,,,,,
25/11/2018,2589,,,,,,
22/11/2018,2590,,,,,,
21/11/2018,2550,,,,,,
20/11/2018,2422,,,,,,
19/11/2018,2478,,,,,,
18/11/2018,2420,,,,,,
15/11/2018,2372,,,,,,
14/11/2018,2405,,,,,,
13/11/2018,2454,,,,,,
12/11/2018,2480,,,,,,
11/11/2018,2471,,,,,,
08/11/2018,2530,,,,,,
07/11/2018,2535,,,,,,
06/11/2018,2459,,,,,,
05/11/2018,2391,,,,,,
04/11/2018,2391,,,,,,
01/11/2018,2380,,,,,,
31/10/2018,2350,,,,,,
29/10/2018,2276,,,,,,
28/10/2018,2230,,,,,,
25/10/2018,2125,,,,,,
24/10/2018,2162,,,,,,
23/10/2018,2201,,,,,,
22/10/2018,2273,,,,,,
21/10/2018,2284,,,,,,
18/10/2018,2310,,,,,,
17/10/2018,2335,,,,,,
16/10/2018,2338,,,,,,
15/10/2018,2325,,,,,,
14/10/2018,2387,,,,,,
11/10/2018,2365,,,,,,
10/10/2018,2435,,,,,,
09/10/2018,2485,,,,,,
08/10/2018,2461,,,,,,
07/10/2018,2499,,,,,,
04/10/2018,2495,,,,,,
03/10/2018,2535,,,,,,
02/10/2018,2503,,,,,,
27/09/2018,2490,,,,,,
26/09/2018,2475,,,,,,
25/09/2018,2447,,,,,,
20/09/2018,2460,,,,,,
17/09/2018,2405,,,,,,
16/09/2018,2371,,,,,,
13/09/2018,2187,,,,,,
12/09/2018,2130,,,,,,
06/09/2018,2136,,,,,,
05/09/2018,2080,,,,,,
04/09/2018,2120,,,,,,
03/09/2018,2160,,,,,,
02/09/2018,2117,,,,,,
30/08/2018,2120,,,,,,
29/08/2018,2167,,,,,,
28/08/2018,2217,,,,,,
27/08/2018,2269,,,,,,
26/08/2018,2275,,,,,,
23/08/2018,2268,,,,,,
22/08/2018,2259,,,,,,
21/08/2018,2239,,,,,,
20/08/2018,2189,,,,,,
19/08/2018,2120,,,,,,
16/08/2018,2090,,,,,,
15/08/2018,2116,,,,,,
14/08/2018,2087,,,,,,
13/08/2018,2109,,,,,,
12/08/2018,2140,,,,,,
09/08/2018,2156,,,,,,
08/08/2018,2187,,,,,,
07/08/2018,2056,,,,,,
06/08/2018,2070,,,,,,
05/08/2018,2114,,,,,,
02/08/2018,2107,,,,,,
01/08/2018,2060,,,,,,
31/07/2018,2094,,,,,,
30/07/2018,2064,,,,,,
29/07/2018,2034,,,,,,
26/07/2018,2068,,,,,,
25/07/2018,2059,,,,,,
24/07/2018,2102,,,,,,
23/07/2018,2104,,,,,,
19/07/2018,2070,,,,,,
18/07/2018,2075,,,,,,
17/07/2018,2100,,,,,,
16/07/2018,2067,,,,,,
15/07/2018,2072,,,,,,
12/07/2018,2029,,,,,,
11/07/2018,2005,,,,,,
10/07/2018,2005,,,,,,
09/07/2018,2016,,,,,,
08/07/2018,2040,,,,,,
05/07/2018,2021,,,,,,
04/07/2018,2021,,,,,,
03/07/2018,2010,,,,,,
02/07/2018,2023,,,,,,
01/07/2018,2056,,,,,,
28/06/2018,2077,,,,,,
27/06/2018,2111,,,,,,
26/06/2018,2102,,,,,,
25/06/2018,2112,,,,,,
24/06/2018,2089,,,,,,
21/06/2018,2025,,,,,,
20/06/2018,2115,,,,,,
19/06/2018,2169,,,,,,
18/06/2018,2159,,,,,,
17/06/2018,2245,,,,,,
14/06/2018,2279,,,,,,
13/06/2018,2324,,,,,,
12/06/2018,2332,,,,,,
11/06/2018,2392,,,,,,
10/06/2018,2363,,,,,,
07/06/2018,2425,,,,,,
06/06/2018,2460,,,,,,
05/06/2018,2446,,,,,,
04/06/2018,2477,,,,,,
03/06/2018,2471,,,,,,
31/05/2018,2500,,,,,,
30/05/2018,2415,,,,,,
29/05/2018,2525,,,,,,
28/05/2018,2538,,,,,,
27/05/2018,2529,,,,,,
24/05/2018,2485,,,,,,
23/05/2018,2427,,,,,,
22/05/2018,2503,,,,,,
21/05/2018,2484,,,,,,
17/05/2018,2443,,,,,,
16/05/2018,2377,,,,,,
15/05/2018,2457,,,,,,
14/05/2018,2506,,,,,,
13/05/2018,2584,,,,,,
10/05/2018,2625,,,,,,
09/05/2018,2480,,,,,,
08/05/2018,2495,,,,,,
07/05/2018,2578,,,,,,
06/05/2018,2597,,,,,,
03/05/2018,2559,,,,,,
02/05/2018,2510,,,,,,
01/05/2018,2350,,,,,,
30/04/2018,2465,,,,,,
29/04/2018,2592,,,,,,
26/04/2018,2609,,,,,,
25/04/2018,2595,,,,,,
24/04/2018,2671,,,,,,
23/04/2018,2659,,,,,,
22/04/2018,2704,,,,,,
17/04/2018,2686,,,,,,
16/04/2018,2643,,,,,,
15/04/2018,2608,,,,,,
12/04/2018,2503,,,,,,
11/04/2018,2477,,,,,,
10/04/2018,2570,,,,,,
09/04/2018,2455,,,,,,
08/04/2018,2409,,,,,,
04/04/2018,2312,,,,,,
03/04/2018,2420,,,,,,
02/04/2018,2469,,,,,,
01/04/2018,2496,,,,,,
29/03/2018,2478,,,,,,
28/03/2018,2586,,,,,,
27/03/2018,2523,,,,,,
26/03/2018,2454,,,,,,
25/03/2018,2489,,,,,,
22/03/2018,2562,,,,,,
21/03/2018,2670,,,,,,
20/03/2018,2674,,,,,,
19/03/2018,2601,,,,,,
18/03/2018,2667,,,,,,
15/03/2018,2567,,,,,,
14/03/2018,2620,,,,,,
13/03/2018,2651,,,,,,
12/03/2018,2647,,,,,,
11/03/2018,2726,,,,,,
08/03/2018,2735,,,,,,
07/03/2018,2751,,,,,,
06/03/2018,2831,,,,,,
05/03/2018,2844,,,,,,
04/03/2018,2859,,,,,,
28/02/2018,2892,,,,,,
27/02/2018,2813,,,,,,
26/02/2018,2844,,,,,,
25/02/2018,2891,,,,,,
22/02/2018,2910,,,,,,
21/02/2018,2962,,,,,,
20/02/2018,2970,,,,,,
19/02/2018,2948,,,,,,
18/02/2018,2904,,,,,,
15/02/2018,2870,,,,,,
14/02/2018,2902,,,,,,
13/02/2018,2937,,,,,,
12/02/2018,2937,,,,,,
11/02/2018,2858,,,,,,
08/02/2018,2924,,,,,,
07/02/2018,2963,,,,,,
06/02/2018,2962,,,,,,
05/02/2018,3018,,,,,,
04/02/2018,3065,,,,,,
01/02/2018,3125,,,,,,
31/01/2018,3194,,,,,,
30/01/2018,3191,,,,,,
29/01/2018,3180,,,,,,
28/01/2018,3340,,,,,,
25/01/2018,3325,,,,,,
24/01/2018,3247,,,,,,
23/01/2018,3346,,,,,,
22/01/2018,3374,,,,,,
21/01/2018,3416,,,,,,
18/01/2018,3380,,,,,,
17/01/2018,3339,,,,,,
16/01/2018,3302,,,,,,
15/01/2018,3417,,,,,,
14/01/2018,3505,,,,,,
11/01/2018,3523,,,,,,
10/01/2018,3532,,,,,,
09/01/2018,3615,,,,,,
08/01/2018,3631,,,,,,
07/01/2018,3663,,,,,,
04/01/2018,3603,,,,,,
03/01/2018,3567,,,,,,
02/01/2018,3580,,,,,,
01/01/2018,3574,,,,,,
31/12/2017,3580,,,,,,
28/12/2017,3589,,,,,,
27/12/2017,3632,,,,,,
26/12/2017,3657,,,,,,
25/12/2017,3742,,,,,,
24/12/2017,3730,,,,,,
21/12/2017,3575,,,,,,
20/12/2017,3522,,,,,,
19/12/2017,3448,,,,,,
18/12/2017,3479,,,,,,
17/12/2017,3416,,,,,,
14/12/2017,3420,,,,,,
13/12/2017,3497,,,,,,
12/12/2017,3478,,,,,,
11/12/2017,3532,,,,,,
10/12/2017,3532,,,,,,
07/12/2017,3530,,,,,,
06/12/2017,3513,,,,,,
05/12/2017,3528,,,,,,
04/12/2017,3507,,,,,,
03/12/2017,3499,,,,,,
30/11/2017,3470,,,,,,
29/11/2017,3496,,,,,,
28/11/2017,3485,,,,,,
27/11/2017,3453,,,,,,
26/11/2017,3453,,,,,,
23/11/2017,3523,,,,,,
22/11/2017,3566,,,,,,
21/11/2017,3590,,,,,,
20/11/2017,3320,,,,,,
19/11/2017,3288,,,,,,
16/11/2017,3300,,,,,,
15/11/2017,3344,,,,,,
14/11/2017,3361,,,,,,
13/11/2017,3361,,,,,,
12/11/2017,3360,,,,,,
09/11/2017,3320,,,,,,
08/11/2017,3340,,,,,,
07/11/2017,3373,,,,,,
06/11/2017,3349,,,,,,
05/11/2017,3340,,,,,,
02/11/2017,3350,,,,,,
01/11/2017,3351,,,,,,
31/10/2017,3403,,,,,,
30/10/2017,3401,,,,,,
29/10/2017,3419,,,,,,
26/10/2017,3393,,,,,,
25/10/2017,3317,,,,,,
24/10/2017,3319,,,,,,
23/10/2017,3352,,,,,,
22/10/2017,3395,,,,,,
19/10/2017,3376,,,,,,
18/10/2017,3408,,,,,,
17/10/2017,3458,,,,,,
16/10/2017,3410,,,,,,
15/10/2017,3400,,,,,,
10/10/2017,3348,,,,,,
09/10/2017,3324,,,,,,
08/10/2017,3362,,,,,,
03/10/2017,3357,,,,,,
02/10/2017,3393,,,,,,
01/10/2017,3367,,,,,,
28/09/2017,3289,,,,,,
27/09/2017,3250,,,,,,
26/09/2017,3264,,,,,,
25/09/2017,3273,,,,,,
24/09/2017,3337,,,,,,
19/09/2017,3336,,,,,,
18/09/2017,3379,,,,,,
17/09/2017,3313,,,,,,
14/09/2017,3305,,,,,,
13/09/2017,3296,,,,,,
12/09/2017,3304,,,,,,
11/09/2017,3398,,,,,,
10/09/2017,3411,,,,,,
07/09/2017,3389,,,,,,
06/09/2017,3327,,,,,,
05/09/2017,3283,,,,,,
04/09/2017,3210,,,,,,
03/09/2017,3121,,,,,,
31/08/2017,3183,,,,,,
30/08/2017,3100,,,,,,
29/08/2017,3037,,,,,,
28/08/2017,3058,,,,,,
27/08/2017,3046,,,,,,
24/08/2017,3044,,,,,,
23/08/2017,3096,,,,,,
22/08/2017,3123,,,,,,
21/08/2017,3032,,,,,,
20/08/2017,3037,,,,,,
17/08/2017,3072,,,,,,
16/08/2017,3148,,,,,,
15/08/2017,3186,,,,,,
14/08/2017,3209,,,,,,
13/08/2017,3209,,,,,,
10/08/2017,3198,,,,,,
09/08/2017,3328,,,,,,
08/08/2017,3357,,,,,,
07/08/2017,3391,,,,,,
06/08/2017,3465,,,,,,
03/08/2017,3333,,,,,,
02/08/2017,3299,,,,,,
31/07/2017,3318,,,,,,
30/07/2017,3339,,,,,,
27/07/2017,3323,,,,,,
26/07/2017,3275,,,,,,
25/07/2017,3380,,,,,,
24/07/2017,3338,,,,,,
23/07/2017,3383,,,,,,
20/07/2017,3405,,,,,,
19/07/2017,3437,,,,,,
18/07/2017,3509,,,,,,
17/07/2017,3496,,,,,,
16/07/2017,3483,,,,,,
13/07/2017,3454,,,,,,
12/07/2017,3311,,,,,,
11/07/2017,3289,,,,,,
10/07/2017,3322,,,,,,
09/07/2017,3327,,,,,,
06/07/2017,3285,,,,,,
05/07/2017,3294,,,,,,
04/07/2017,3276,,,,,,
03/07/2017,3270,,,,,,
02/07/2017,3290,,,,,,
29/06/2017,3361,,,,,,
28/06/2017,3281,,,,,,
27/06/2017,3231,,,,,,
26/06/2017,3283,,,,,,
25/06/2017,3306,,,,,,
22/06/2017,3286,,,,,,
21/06/2017,3281,,,,,,
20/06/2017,3284,,,,,,
19/06/2017,3357,,,,,,
18/06/2017,3310,,,,,,
15/06/2017,3262,,,,,,
14/06/2017,3310,,,,,,
13/06/2017,3356,,,,,,
12/06/2017,3363,,,,,,
11/06/2017,3460,,,,,,
08/06/2017,3460,,,,,,
07/06/2017,3516,,,,,,
06/06/2017,3495,,,,,,
05/06/2017,3521,,,,,,
04/06/2017,3521,,,,,,
01/06/2017,3503,,,,,,
29/05/2017,3445,,,,,,
28/05/2017,3445,,,,,,
25/05/2017,3503,,,,,,
24/05/2017,3587,,,,,,
23/05/2017,3728,,,,,,
22/05/2017,3720,,,,,,
21/05/2017,3717,,,,,,
18/05/2017,3599,,,,,,
17/05/2017,3669,,,,,,
16/05/2017,3743,,,,,,
15/05/2017,3786,,,,,,
14/05/2017,3817,,,,,,
11/05/2017,3803,,,,,,
10/05/2017,3766,,,,,,
09/05/2017,3808,,,,,,
08/05/2017,3700,,,,,,
07/05/2017,3615,,,,,,
04/05/2017,3571,,,,,,
03/05/2017,3602,,,,,,
30/04/2017,3527,,,,,,
27/04/2017,3580,,,,,,
26/04/2017,3641,,,,,,
25/04/2017,3664,,,,,,
24/04/2017,3661,,,,,,
23/04/2017,3613,,,,,,
20/04/2017,3656,,,,,,
19/04/2017,3700,,,,,,
18/04/2017,3581,,,,,,
13/04/2017,3610,,,,,,
12/04/2017,3591,,,,,,
09/04/2017,3755,,,,,,
06/04/2017,3800,,,,,,
05/04/2017,3799,,,,,,
04/04/2017,3825,,,,,,
03/04/2017,3814,,,,,,
02/04/2017,3850,,,,,,
30/03/2017,3755,,,,,,
29/03/2017,3768,,,,,,
28/03/2017,3715,,,,,,
27/03/2017,3700,,,,,,
26/03/2017,3743,,,,,,
23/03/2017,3749,,,,,,
22/03/2017,3723,,,,,,
21/03/2017,3725,,,,,,
20/03/2017,3880,,,,,,
19/03/2017,3784,,,,,,
16/03/2017,3799,,,,,,
15/03/2017,3821,,,,,,
14/03/2017,3929,,,,,,
13/03/2017,3849,,,,,,
09/03/2017,3930,,,,,,
08/03/2017,3951,,,,,,
07/03/2017,3995,,,,,,
06/03/2017,3960,,,,,,
05/03/2017,4109,,,,,,
02/03/2017,4095,,,,,,
01/03/2017,4080,,,,,,
28/02/2017,4015,,,,,,
27/02/2017,3971,,,,,,
26/02/2017,4006,,,,,,
23/02/2017,4008,,,,,,
22/02/2017,3981,,,,,,
21/02/2017,3970,,,,,,
20/02/2017,4023,,,,,,
19/02/2017,3918,,,,,,
16/02/2017,3894,,,,,,
15/02/2017,3821,,,,,,
14/02/2017,3850,,,,,,
13/02/2017,3903,,,,,,
12/02/2017,3950,,,,,,
09/02/2017,3845,,,,,,
08/02/2017,3768,,,,,,
07/02/2017,3767,,,,,,
06/02/2017,3733,,,,,,
05/02/2017,3714,,,,,,
02/02/2017,3755,,,,,,
01/02/2017,3879,,,,,,
31/01/2017,3966,,,,,,
30/01/2017,3925,,,,,,
29/01/2017,3891,,,,,,
26/01/2017,3934,,,,,,
25/01/2017,3850,,,,,,
24/01/2017,3752,,,,,,
23/01/2017,3599,,,,,,
22/01/2017,3601,,,,,,
19/01/2017,3630,,,,,,
18/01/2017,3666,,,,,,
17/01/2017,3618,,,,,,
16/01/2017,3648,,,,,,
15/01/2017,3739,,,,,,
12/01/2017,3790,,,,,,
11/01/2017,3700,,,,,,
10/01/2017,3818,,,,,,
09/01/2017,3738,,,,,,
08/01/2017,3775,,,,,,
05/01/2017,3794,,,,,,
04/01/2017,3777,,,,,,
03/01/2017,3465,,,,,,
02/01/2017,3405,,,,,,
01/01/2017,3136,,,,,,
29/12/2016,3100,,,,,,
28/12/2016,3106,,,,,,
27/12/2016,3080,,,,,,
26/12/2016,3057,,,,,,
25/12/2016,3038,,,,,,
22/12/2016,3083,,,,,,
21/12/2016,3110,,,,,,
20/12/2016,3053,,,,,,
19/12/2016,3044,,,,,,
18/12/2016,3075,,,,,,
15/12/2016,3183,,,,,,
14/12/2016,3240,,,,,,
13/12/2016,3265,,,,,,
12/12/2016,3263,,,,,,
11/12/2016,3264,,,,,,
08/12/2016,3244,,,,,,
07/12/2016,3238,,,,,,
06/12/2016,3260,,,,,,
05/12/2016,3234,,,,,,
04/12/2016,3135,,,,,,
01/12/2016,3092,,,,,,
30/11/2016,3126,,,,,,
29/11/2016,3079,,,,,,
28/11/2016,3070,,,,,,
27/11/2016,3036,,,,,,
24/11/2016,2992,,,,,,
23/11/2016,3011,,,,,,
22/11/2016,3012,,,,,,
21/11/2016,2976,,,,,,
20/11/2016,2933,,,,,,
17/11/2016,2838,,,,,,
16/11/2016,2840,,,,,,
15/11/2016,2759,,,,,,
14/11/2016,2731,,,,,,
13/11/2016,2790,,,,,,
10/11/2016,2775,,,,,,
09/11/2016,2801,,,,,,
08/11/2016,2826,,,,,,
07/11/2016,2859,,,,,,
06/11/2016,2812,,,,,,
03/11/2016,2780,,,,,,
02/11/2016,2814,,,,,,
01/11/2016,2838,,,,,,
31/10/2016,2897,,,,,,
30/10/2016,2898,,,,,,
27/10/2016,2845,,,,,,
26/10/2016,2906,,,,,,
25/10/2016,3003,,,,,,
20/10/2016,3019,,,,,,
19/10/2016,3035,,,,,,
18/10/2016,3031,,,,,,
13/10/2016,2957,,,,,,
10/10/2016,3005,,,,,,
09/10/2016,2962,,,,,,
06/10/2016,2928,,,,,,
05/10/2016,2864,,,,,,
29/09/2016,2800,,,,,,
28/09/2016,2842,,,,,,
27/09/2016,2836,,,,,,
26/09/2016,2764,,,,,,
25/09/2016,2837,,,,,,
22/09/2016,2918,,,,,,
21/09/2016,2948,,,,,,
20/09/2016,2840,,,,,,
19/09/2016,2854,,,,,,
18/09/2016,2830,,,,,,
15/09/2016,2812,,,,,,
14/09/2016,2881,,,,,,
13/09/2016,2898,,,,,,
12/09/2016,2920,,,,,,
11/09/2016,2861,,,,,,
08/09/2016,2899,,,,,,
07/09/2016,2926,,,,,,
06/09/2016,2891,,,,,,
05/09/2016,2847,,,,,,
04/09/2016,2859,,,,,,
01/09/2016,2744,,,,,,
31/08/2016,2837,,,,,,
30/08/2016,2836,,,,,,
29/08/2016,2808,,,,,,
28/08/2016,2832,,,,,,
25/08/2016,2863,,,,,,
24/08/2016,2919,,,,,,
23/08/2016,2933,,,,,,
22/08/2016,2944,,,,,,
21/08/2016,2975,,,,,,
18/08/2016,2905,,,,,,
17/08/2016,2847,,,,,,
16/08/2016,2855,,,,,,
15/08/2016,2861,,,,,,
11/08/2016,2861,,,,,,
10/08/2016,2820,,,,,,
09/08/2016,2657,,,,,,
08/08/2016,2642,,,,,,
07/08/2016,2640,,,,,,
04/08/2016,2667,,,,,,
03/08/2016,2668,,,,,,
02/08/2016,2651,,,,,,
01/08/2016,2714,,,,,,
31/07/2016,2775,,,,,,
28/07/2016,2740,,,,,,
27/07/2016,2733,,,,,,
26/07/2016,2742,,,,,,
25/07/2016,2769,,,,,,
24/07/2016,2616,,,,,,
21/07/2016,2624,,,,,,
20/07/2016,2662,,,,,,
19/07/2016,2678,,,,,,
18/07/2016,2663,,,,,,
17/07/2016,2729,,,,,,
14/07/2016,2776,,,,,,
13/07/2016,2800,,,,,,
12/07/2016,2802,,,,,,
11/07/2016,2532,,,,,,
10/07/2016,2512,,,,,,
07/07/2016,2512,,,,,,
06/07/2016,2504,,,,,,
05/07/2016,2538,,,,,,
04/07/2016,2543,,,,,,
03/07/2016,2549,,,,,,
30/06/2016,2570,,,,,,
29/06/2016,2452,,,,,,
28/06/2016,2367,,,,,,
27/06/2016,2240,,,,,,
26/06/2016,2339,,,,,,
23/06/2016,2415,,,,,,
22/06/2016,2415,,,,,,
21/06/2016,2465,,,,,,
20/06/2016,2502,,,,,,
19/06/2016,2529,,,,,,
16/06/2016,2500,,,,,,
15/06/2016,2611,,,,,,
14/06/2016,2670,,,,,,
13/06/2016,2680,,,,,,
09/06/2016,3039,,,,,,
08/06/2016,3105,,,,,,
07/06/2016,3225,,,,,,
06/06/2016,3200,,,,,,
05/06/2016,3229,,,,,,
02/06/2016,3249,,,,,,
01/06/2016,3220,,,,,,
31/05/2016,3206,,,,,,
30/05/2016,3235,,,,,,
29/05/2016,3171,,,,,,
26/05/2016,3197,,,,,,
25/05/2016,3202,,,,,,
24/05/2016,3094,,,,,,
23/05/2016,2965,,,,,,
22/05/2016,2889,,,,,,
19/05/2016,2940,,,,,,
18/05/2016,2986,,,,,,
17/05/2016,3019,,,,,,
16/05/2016,3010,,,,,,
15/05/2016,2920,,,,,,
10/05/2016,2822,,,,,,
09/05/2016,2802,,,,,,
08/05/2016,2825,,,,,,
05/05/2016,2904,,,,,,
04/05/2016,2945,,,,,,
03/05/2016,2940,,,,,,
02/05/2016,2923,,,,,,
01/05/2016,2850,,,,,,
27/04/2016,2822,,,,,,
26/04/2016,2840,,,,,,
25/04/2016,2820,,,,,,
24/04/2016,2890,,,,,,
21/04/2016,2869,,,,,,
20/04/2016,2942,,,,,,
19/04/2016,2922,,,,,,
18/04/2016,2842,,,,,,
17/04/2016,2846,,,,,,
14/04/2016,2789,,,,,,
13/04/2016,2770,,,,,,
12/04/2016,2710,,,,,,
11/04/2016,2780,,,,,,
10/04/2016,2897,,,,,,
